natural_object artifact
artifact natural_object
overachievement underachievement
underachievement overachievement
appearance disappearance
disappearance appearance
retreat advance
disembarkation embarkation
embarkation disembarkation
passing failing
failing passing
call_option put_option
put_option call_option
best worst
worst best
fair_ball foul_ball
foul_ball fair_ball
loosening tightening
tightening loosening
monetization demonetization
demonetization monetization
split_ticket straight_ticket
straight_ticket split_ticket
earned_run unearned_run
unearned_run earned_run
promotion demotion
demotion promotion
finish start
stillbirth live_birth
deactivation activation
start finish
activation deactivation
contamination decontamination
advance retreat
rising_trot sitting_trot
sitting_trot rising_trot
domestic_flight international_flight
international_flight domestic_flight
acceleration deceleration
deceleration acceleration
opening closing
pronation supination
closing opening
supination pronation
decrease increase
minimization maximization
compression decompression
decompression compression
subtraction addition
deflation inflation
weakening strengthening
dilution concentration
increase decrease
addition subtraction
appreciation depreciation
depreciation appreciation
contraction expansion
expansion contraction
maximization minimization
inflation deflation
extension flexion
strengthening weakening
concentration dilution
union disunion
tribalization detribalization
tribalisation detribalisation
detribalization tribalization
detribalisation tribalisation
disunion union
decontamination contamination
flexion extension
widening narrowing
narrowing widening
activity inactivity
day_game night_game
night_game day_game
away_game home_game
home_game away_game
hardball softball
softball hardball
ground_stroke volley
volley ground_stroke
compression decompression
decompression compression
major_surgery minor_surgery
minor_surgery major_surgery
allopathy homeopathy
homeopathy allopathy
loading unloading
unloading loading
actual_sin original_sin
original_sin actual_sin
mortal_sin venial_sin
venial_sin mortal_sin
grand_larceny petit_larceny
petit_larceny grand_larceny
hyperpnea hypopnea
hypopnea hyperpnea
assortative_mating disassortative_mating
disassortative_mating assortative_mating
disapproval approval
assembly disassembly
disassembly assembly
continuance discontinuance
continuation discontinuation
discontinuance continuance
discontinuation continuation
inactivity activity
nonproliferation proliferation
non-proliferation proliferation
downtick uptick
uptick downtick
retail wholesale
wholesale retail
payment nonpayment
nonpayment payment
criminalization decriminalization
criminalisation decriminalisation
decriminalization criminalization
decriminalisation criminalisation
enfranchisement disenfranchisement
disenfranchisement enfranchisement
classification declassification
declassification classification
nationalization denationalization
denationalization nationalization
mobilization demobilization
arming disarming
armament disarmament
disarming arming
disarmament armament
demobilization mobilization
stabilization destabilization
stabilisation destabilisation
destabilization stabilization
destabilisation stabilisation
obedience disobedience
competition cooperation
disobedience obedience
noncompliance compliance
reversal affirmation
affirmation reversal
conviction acquittal
judgment_in_personam judgment_in_rem
judgment_in_rem judgment_in_personam
general_verdict special_verdict
special_verdict general_verdict
acquittal conviction
prosecution defense
defense prosecution
segregation integration
integration segregation
cooperation competition
conformity nonconformity
compliance noncompliance
observance nonobservance
nonobservance observance
nonconformity conformity
service disservice
disservice service
approval disapproval
assembly disassembly
attendance nonattendance
presence absence
nonattendance attendance
absence presence
centralization decentralization
decentralization centralization
engagement non-engagement
participation nonparticipation
involvement non-involvement
non-engagement engagement
nonparticipation participation
non-involvement involvement
female male
male female
parasite host
host parasite
eukaryote prokaryote
prokaryote eukaryote
soft-finned_fish spiny-finned_fish
ratite carinate
carinate ratite
anapsid diapsid
diapsid anapsid
diving_duck dabbling_duck
dabbling_duck diving_duck
zygodactyl_foot heterodactyl_foot
heterodactyl_foot zygodactyl_foot
odd-toed_ungulate even-toed_ungulate
even-toed_ungulate odd-toed_ungulate
heterocercal_fin homocercal_fin
homocercal_fin heterocercal_fin
plantigrade_mammal digitigrade_mammal
digitigrade_mammal plantigrade_mammal
spiny-finned_fish soft-finned_fish
high_relief low_relief
anode cathode
anode cathode
antagonist synergist
infield outfield
low_relief high_relief
black white
blunt_file taper_file
brand-name_drug generic_drug
cathode anode
cathode anode
closed_circuit open_circuit
custom-made ready-made
dedicated_file_server non-dedicated_file_server
dry-bulb_thermometer wet-bulb_thermometer
dry_fly wet_fly
dumb_bomb smart_bomb
electrolytic_cell voltaic_cell
export import
express local
fast_lane slow_lane
fast_reactor thermal_reactor
front rear
generic_drug brand-name_drug
hand_mower power_mower
hard_drug soft_drug
hardware software
head tail
import export
in-basket out-basket
larboard starboard
local express
location studio
mobile stabile
non-dedicated_file_server dedicated_file_server
non-volatile_storage volatile_storage
