exhale inhale
inhale exhale
rest be_active
be_active rest
sleep wake
hibernate aestivate
estivate hibernate
aestivate hibernate
fall_asleep wake_up
go_to_bed get_up
turn_in turn_out
get_up go_to_bed
turn_out turn_in
wake_up fall_asleep
awaken cause_to_sleep
cause_to_sleep awaken
wake sleep
anesthetize bring_to
bring_to anesthetize
sedate stimulate
stimulate sedate
energize de-energize
energise de-energise
de-energize energize
de-energise energise
refresh tire
tense relax
strain unstrain
relax tense
unstrain strain
tense relax
relax tense
laugh cry
overdress underdress
dress_up dress_down
dress_down dress_up
underdress overdress
reduce gain
gain reduce
dress undress
dress undress
overdress underdress
underdress overdress
undress dress
slip_on slip_off
slip_off slip_on
carry_to_term miscarry
miscarry carry_to_term
irritate soothe
soothe irritate
suffer be_well
be_well suffer
cry laugh
tire refresh
vomit keep_down
keep_down vomit
infect disinfect
disinfect infect
deteriorate recuperate
recuperate deteriorate
change stay
stay change
differentiate dedifferentiate
dedifferentiate differentiate
mythologize demythologize
demythologize mythologize
decrease increase
increase decrease
increase decrease
assimilate dissimilate
assimilate dissimilate
assimilate dissimilate
dissimilate assimilate
dissimilate assimilate
dissimilate assimilate
vitalize devitalize
devitalize vitalize
enrich deprive
deprive enrich
take_away add
unclutter clutter
clutter unclutter
add take_away
activate inactivate
inactivate activate
deaden enliven
enliven deaden
correct falsify
falsify correct
worsen better
better worsen
better worsen
worsen better
dehydrate hydrate
hydrate dehydrate
wet dry
humidify dehumidify
dehumidify humidify
dry wet
lock unlock
unlock lock
engage disengage
disengage engage
strengthen weaken
strengthen weaken
weaken strengthen
weaken strengthen
deoxidize oxidize
deoxidise oxidise
oxidize deoxidize
oxidise deoxidise
reduce blow_up
blow_up reduce
shrink stretch
contract expand
stretch shrink
contract expand
progress regress
regress progress
age rejuvenate
rejuvenate age
soften harden
soften harden
repair break
inflate deflate
deflate inflate
acidify alkalize
alkalize acidify
get_well get_worse
get_worse get_well
freeze unfreeze
block unblock
unblock block
unfreeze freeze
stabilize destabilize
stabilise destabilise
destabilize stabilize
destabilise stabilise
stabilize destabilise
destabilize stabilize
destabilise stabilize
sensitize desensitize
desensitize sensitize
disorder order
predate postdate
postdate predate
order disorder
whiten blacken
blacken whiten
lighten darken
discolor color
color discolor
escalate de-escalate
de-escalate escalate
beautify uglify
uglify beautify
tune untune
untune tune
qualify disqualify
disqualify qualify
widen narrow
let_out take_in
take_in let_out
narrow widen
implode explode
explode implode
dehydrogenate hydrogenate
hydrogenate dehydrogenate
blur focus
darken brighten
darken lighten
brighten darken
blur focus
focus blur
focus blur
depreciate appreciate
depreciate appreciate
appreciate depreciate
appreciate depreciate
shorten lengthen
lengthen shorten
shorten lengthen
lengthen shorten
materialize dematerialize
materialise dematerialise
dematerialize materialize
dematerialise materialise
begin end
begin end
end begin
die be_born
be_born die
unify disunify
disunify unify
cool heat
cool heat
heat cool
heat cool
freeze boil
boil freeze
personalize depersonalize
personalise depersonalise
depersonalize personalize
depersonalise personalise
stifle stimulate
sharpen flatten
flatten sharpen
synchronize desynchronize
synchronise desynchronise
desynchronize synchronize
desynchronise synchronise
disintegrate integrate
magnetize demagnetize
magnetise demagnetise
demagnetize magnetize
demagnetise magnetise
simplify complicate
complicate simplify
pressurize depressurize
pressurise depressurise
depressurize pressurize
depressurise pressurise
centralize decentralize
centralise decentralise
concentrate deconcentrate
decentralize centralise
deconcentrate concentrate
winterize summerize
summerize winterize
nationalize denationalize
nationalise denationalise
denationalize nationalize
denationalise nationalise
naturalize denaturalize
denaturalize naturalize
naturalize denaturalize
denaturalize naturalize
immigrate emigrate
emigrate immigrate
stiffen loosen
stiffen loosen
loosen stiffen
loosen stiffen
transitivize detransitivize
detransitivize transitivize
appear disappear
appear disappear
disappear appear
disappear appear
minimize maximize
minimise maximise
scale_down scale_up
scale_up scale_down
maximize minimize
maximise minimise
thin thicken
thin thicken
thicken thin
thicken thin
wax wane
wax wane
wane wax
wane wax
unfurl roll_up
roll_up unfurl
diversify specialise
specialize diversify
specialise diversify
accelerate decelerate
decelerate accelerate
accelerate decelerate
decelerate accelerate
decrease increase
harden soften
harden soften
validate invalidate
invalidate validate
empty fill
empty fill
fill empty
fill empty
homogenise curdle
homogenize curdle
homogenise curdle
curdle homogenise
rush delay
delay rush
quieten louden
louden quieten
align skew
skew align
integrate disintegrate
decontaminate contaminate
contaminate decontaminate
calcify decalcify
decalcify calcify
emulsify demulsify
emulsify demulsify
demulsify emulsify
demulsify emulsify
denazify nazify
nazify denazify
denitrify nitrify
nitrify denitrify
stimulate stifle
disable enable
enable disable
background foreground
play_down play_up
foreground background
play_up play_down
mystify demystify
demystify mystify
de-ionate ionate
iodinate de-iodinate
de-iodinate iodinate
ionate de-ionate
occidentalize orientalize
occidentalise orientalise
orientalize occidentalize
orientalise occidentalise
salinate desalinate
desalinate salinate
scramble unscramble
unscramble scramble
crescendo decrescendo
decrescendo crescendo
back veer
veer back
deflate inflate
inflate deflate
deflate inflate
inflate deflate
stalinize destalinize
destalinize stalinize
know ignore
keep_track lose_track
lose_track keep_track
ignore know
remember forget
forget remember
mind forget
remember forget
forget remember
forget mind
neglect attend_to
