dorsal abaxial
ventral adaxial
abducting abducent
adductive adducent
adducting adducent
emerging emergent
shortened cut
uncut full-length
unquestioning implicit
comparative relative
absorptive absorbent
sorbefacient absorbefacient
assimilative assimilating
assimilatory assimilating
spongelike spongy
nonabsorptive nonabsorbent
resistant repellent
adsorptive adsorbent
surface-assimilative adsorbent
chemosorptive chemisorptive
nonadsorptive nonadsorbent
adsorbate adsorbable
abstentious abstinent
ascetical ascetic
austere ascetic
spartan ascetic
crapulous crapulent
esurient edacious
rapacious edacious
ravening edacious
ravenous edacious
voracious edacious
wolfish edacious
piggish hoggish
piggy hoggish
porcine hoggish
swinish hoggish
too-greedy overgreedy
ideational conceptional
notional conceptional
ideologic ideological
tangible real
galore abounding
copious ample
plenteous ample
plentiful ample
rich ample
voluminous copious
lush exuberant
luxuriant exuberant
profuse exuberant
riotous exuberant
plethoric overabundant
rife overabundant
ill-treated abused
maltreated abused
mistreated abused
unimpeachable unexceptionable
objectionable exceptionable
reachable approachable
get-at-able come-at-able
getatable come-at-able
ready_to_hand handy
unaccessible inaccessible
remote outback
roadless pathless
trackless pathless
untracked pathless
untrod pathless
untrodden pathless
unreachable unapproachable
unreached unapproachable
out_of_reach unapproachable
un-get-at-able un-come-at-able
ungetatable un-come-at-able
accommodative accommodating
obliging complaisant
unobliging unaccommodating
uncooperative disobliging
faithful close
hi-fi high-fidelity
dead_on_target true
right veracious
outside away
incorrect faulty
wrong faulty
wide_of_the_mark wide
wont_to used_to
alkalic alkaline
alcalescent alkalescent
amphiprotic amphoteric
acidophilous acidophilic
aciduric acidophilic
recognized accepted
recognised accepted
granted given
unsung unappreciated
unvalued unappreciated
secret unavowed
unrecognised unrecognized
covetous avaricious
grabby avaricious
grasping avaricious
greedy avaricious
prehensile avaricious
predacious predaceous
predatory predaceous
ravening rapacious
voracious rapacious
astir about
athletic acrobatic
gymnastic acrobatic
nimble agile
quick agile
spry agile
overactive hyperactive
deskbound desk-bound
dormant abeyant
underactive hypoactive
sluggish inert
soggy inert
torpid inert
slow dull
sluggish dull
unused idle
activistic activist
inactive passive
supine resistless
unresisting resistless
inactive dormant
live alive
dynamic active
existent actual
possible potential
adaptative adaptive
reconciling accommodative
nonadaptive dysfunctional
alcohol-dependent alcoholic
dependant dependent
drug-addicted dependent
hooked dependent
strung-out dependent
habit-forming addictive
cumulative accumulative
addible addable
additional extra
complementary complemental
completing complemental
summative summational
supplemental supplementary
equal adequate
capable adequate_to
equal_to adequate_to
up_to adequate_to
unequal inadequate
lacking deficient
wanting deficient
incompetent incapable
unequal_to incapable
short-staffed short-handed
undermanned short-handed
understaffed short-handed
agglutinative agglutinate
tenacious coherent
glutinous gluey
gummy gluey
mucilaginous gluey
pasty gluey
sticky gluey
viscid gluey
viscous gluey
icky gooey
gummy gummed
resinous pitchy
resiny pitchy
tarry pitchy
nonviscid nonglutinous
non-resinous nonresinous
nonresiny nonresinous
non-resiny nonresinous
procedural adjective
essential substantive
decorated adorned
gemmed beady
jeweled beady
jewelled beady
sequined beady
spangled beady
spangly beady
monocled bespectacled
spectacled bespectacled
embossed brocaded
raised brocaded
cloisonne champleve
tinseled clinquant
tinselly clinquant
plumed crested
topknotted crested
tufted crested
feathered feathery
plumy feathery
frilly frilled
ruffled frilled
wainscoted paneled
tasselled tasseled
undecorated unadorned
bare plain
spare plain
unembellished plain
unornamented plain
neat clean
cunning clever
ingenious clever
co-ordinated coordinated
dexterous deft
dextrous deft
nimble-fingered light-fingered
bungling bumbling
butterfingered bumbling
ham-fisted bumbling
ham-handed bumbling
handless bumbling
heavy-handed bumbling
left-handed bumbling
tactless inept
nonmechanical unmechanical
good beneficial
positive plus
preferential discriminatory
negative minus
adventuresome adventurous
daring audacious
venturesome audacious
venturous audacious
swashbuckling swaggering
best better
unadvisable inadvisable
advised well-advised
unadvised ill-advised
aerophilic aerobic
aerophilous aerobic
anaerobiotic anaerobic
esthetic aesthetic
aesthetical aesthetic
esthetical aesthetic
enhancive cosmetic
unaesthetic inaesthetic
unartistic inartistic
stricken smitten
struck smitten
unswayed uninfluenced
untouched uninfluenced
unnatural affected
strained agonistic
contrived artificial
hokey artificial
stilted artificial
forced constrained
strained constrained
natural lifelike
affirmatory affirmative
dissenting dissentient
dissident dissentient
afeared afeard
appalled aghast
dismayed aghast
shocked aghast
scared frightened
horror-stricken horrified
horror-struck horrified
aquaphobic hydrophobic
panicked panicky
panic-stricken panicky
panic-struck panicky
terrified panicky
frightened panicky
terror-struck terror-stricken
fearless unafraid
unflinching unblinking
unintimidated unblinking
unshrinking unblinking
bellicose battleful
combative battleful
militant competitive
high-pressure hard-hitting
rapacious predatory
raptorial predatory
ravening predatory
vulturine predatory
vulturous predatory
rough pugnacious
nonaggressive unaggressive
emotional aroused
excited aroused
worked_up aroused
overwrought distraught
shaken jolted
hectic feverish
frenetic frantic
phrenetic frantic
frenzied frantic
roiling churning
roiled churning
roily churning
turbulent churning
churned-up churning
ruffled rippled
bothersome annoying
galling annoying
irritating annoying
nettlesome annoying
pesky annoying
pestering annoying
pestiferous annoying
plaguy annoying
plaguey annoying
teasing annoying
vexatious annoying
vexing annoying
abrasive harsh
nerve-wracking nerve-racking
stressful nerve-racking
trying nerve-racking
air-to-ground air-to-surface
watchful alert
open-eyed argus-eyed
vigilant argus-eyed
wakeful argus-eyed
wide-awake heads-up
sleepless lidless
unwatchful unalert
unvigilant unalert
conveyable assignable
negotiable assignable
transferable assignable
transferrable assignable
unalienable inalienable
infrangible absolute
inviolable absolute
unassignable nontransferable
untransferable nontransferable
live alive
at_peace asleep
at_rest asleep
deceased asleep
departed asleep
gone asleep
exsanguine bloodless
exsanguinous bloodless
inanimate breathless
pulseless breathless
d.o.a. d
deathly deathlike
exanimate lifeless
out extinct
alphabetical alphabetic
alphabetised alphabetized
selfless altruistic
egoistical egoistic
egocentric egoistic
self-centered egoistic
self-centred egoistic
self-involved self-absorbed
double-barrelled double-barreled
oracular enigmatic
multi-valued multivalent
polysemantic polysemous
pushy pushful
aspiring aspirant
wishful aspirant
determined compulsive
driven compulsive
would-be manque
ambitionless unambitious
good full
wide-cut wide
full wide
meagre meager
meagerly meager
stingy meager
scrimpy meager
