What was Chinese language`s profession?	NULL
What was Chinese language`s profession?	NULL
What is Chinese language`s first name?	NULL
What is Chinese language`s last name?	NULL
How many offspring did Chinese language have?	NULL
The Mandarin dialects in which location have experienced a dramatic decrease in sounds and so have far more multisyllabic words than most other spoken varieties?	NULL
Was Old Chinese wholly uninflected?	no
In North Korea, has Hanja been discontinued?	NULL
The most  widespread is the Palladius  system?	NULL
Is the Vietnamese  term  for Chinese writing Hán t?	NULL
Did the Empire have little success?	NULL
When are most of these groups mutually unintelligible?	NULL
What is the population of Chinese language?	NULL
Is the most widespread the Palladius system?	NULL
Are most of these groups mutually unintelligible?	NULL
In what country is Chinese language located?	NULL
Are The modern Chinese dialects more like a family?	yes
Is it true that one-fifth of world population speak some form of Chinese?	yes
One-fifth of world population speak some form of what?	Chinese
Is mandarin spoken Chinese distinguished by its high level?	no, it's distinguished by diversity
Is standard Mandarin language of People Republic?	NULL
Are there many systems of romanization for the chinese languages due to the Chinese`s own lack of phonetic transcription until modern times ?	NULL
May the idea of Chinese as a language family suggest that the chinese identity is much more fragmentary and disunified than Chinese language actually is and as such is often looked upon as culturally and politically provocative ?	NULL
Are most chinese words formed out of native chinese morphemes , including words describing imported objects and ideas ?	NULL
May a native of Guangzhou speak Standard Cantonese and putonghua , a resident of Taiwan , both taiwanese and putonghua/guoyu ?	NULL
Refer most chinese and chinese linguists to chinese as a single language and Chinese language`s subdivisions dialects , while others call chinese a language family ?	NULL
Are there between 7 and 13 main regional groups of Chinese , of which the most spoken , by far , is about 850 million , followed by 90 million , 70 million and 70 million ?	NULL
